"","Filename","First_MemNo","FvFm","rETRmax","Ek","alpha","beta","rETRscaler"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2","allsitesT3.csv",2382,0.779,24.4915370897511,27.7755274459869,0.881766768871557,0,24.4915370897511
"3","allsitesT3.csv",2391,0.694,21.5449098957779,21.6992731874408,0.992886245989464,0,21.5449098957779
"4","allsitesT3.csv",2400,0.677,28.7381216042283,30.4714721881785,0.943115627192354,0,28.7381216042283
"5","allsitesT3.csv",2409,0.711,35.0934675266616,47.8458258584242,0.733469783351701,0,35.0934675266616
"6","allsitesT3.csv",2423,0.718,21.9596015138378,24.262144841395,0.905097288693589,0,21.9596015138378
"7","allsitesT3.csv",2432,0.737,25.1665884559581,32.0337052807369,0.785628394698747,0,25.1665884559581
"8","allsitesT3.csv",2432,0.737,25.8120767666672,33.192310611404,0.7776523023317,0,25.8120767666672
"9","allsitesT3.csv",2443,0.542,11.8808869929719,35.6009062519346,0.333724285244178,0,11.8808869929719
"10","allsitesT3.csv",3194,0.747,33.290577097734,43.8677097299032,0.758885688418808,0,33.290577097734
