"","Filename","First_MemNo","FvFm","rETRmax","Ek","alpha","beta","rETRscaler"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2","allsitesT=6.csv",1471,0.752,13.4088406719724,11.8962484540925,1.12714867411495,0.0103993610223642,14.1316139174065
"3","allsitesT=6.csv",1481,0.765,20.0945086380123,4.0388826665499,4.97526427406159,0.0115210970464135,20.4261628787665
