"2013-03-07";"12:13:49";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-03-01";"11:51:07";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:51:08";"FO";"2421";"0";"4";"0";"-";"-"
"2013-03-01";"11:51:08";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:51:53";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=19;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"11:51:53";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:51:53";"REG1";"";"#1: alpha: 0.390, ETRm: 9.259, Ek: 23.760   ( beta: 0.000, ETRmPot: 9.291 ) ";""
"2013-03-01";"11:51:53";"REG2";"";"#1: alpha: 0.294, ETRm: 9.188, Ek: 31.296 ";""
"2013-03-01";"11:51:54";"FO";"2423";"132";"468";"0";"0.718";"0.0"
"2013-03-01";"11:52:04";"F";"2424";"162";"463";"16";"0.650";"4.4"
"2013-03-01";"11:52:14";"F";"2425";"259";"449";"46";"0.423";"8.2"
"2013-03-01";"11:52:23";"F";"2426";"337";"435";"93";"0.225";"8.8"
"2013-03-01";"11:52:33";"F";"2427";"358";"420";"144";"0.148";"9.0"
"2013-03-01";"11:52:43";"F";"2428";"363";"407";"211";"0.108";"9.6"
"2013-03-01";"11:52:53";"F";"2429";"360";"391";"295";"0.079";"9.8"
"2013-03-01";"11:53:03";"F";"2430";"355";"372";"434";"0.046";"8.4"
"2013-03-01";"11:53:13";"F";"2431";"344";"358";"583";"0.039";"9.5"
"2013-03-01";"11:53:13";"SLCE";"";"Light Curve end ";""
"2013-03-01";"11:53:50";"SLCS";"";"Light Curve start ";""
"2013-03-01";"11:53:50";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.005, ETRmPot: 9.501 ) ";""
"2013-03-01";"11:53:50";"REG2";"";"#1: alpha: 0.242, ETRm: 11.002, Ek: 45.471 ";""
"2013-03-01";"11:53:51";"FO";"2432";"160";"608";"0";"0.737";"0.0"
