"2014-03-02";"21:59:11";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1: Pam-Control ";""
"2014-03-02";"17:57:44";"SCHS";"";"Chart Start ";""
"2014-03-02";"17:57:44";"FO";"1646";"314";"302";"0";"-";"-"
"2014-03-02";"17:57:54";"F";"1647";"0";"1";"84";"-";"-"
"2014-03-02";"17:58:04";"F";"1648";"0";"0";"125";"-";"-"
"2014-03-02";"17:58:14";"F";"1649";"0";"0";"191";"-";"-"
"2014-03-02";"17:58:23";"F";"1650";"0";"0";"285";"-";"-"
"2014-03-02";"17:58:35";"F";"1651";"0";"0";"403";"-";"-"
"2014-03-02";"17:58:44";"F";"1652";"0";"0";"558";"-";"-"
"2014-03-02";"17:58:54";"F";"1653";"0";"0";"908";"-";"-"
"2014-03-02";"17:59:04";"F";"1654";"0";"0";"1317";"-";"-"
"2014-03-02";"18:00:20";"FO";"1656";"689";"697";"0";"0.011";"0.0"
"2014-03-02";"18:00:27";"F";"1657";"366";"458";"84";"0.201";"7.1"
"2014-03-02";"18:00:38";"F";"1658";"371";"448";"125";"0.172";"9.0"
"2014-03-02";"18:00:47";"F";"1659";"364";"417";"191";"0.127";"10.2"
"2014-03-02";"18:00:59";"F";"1660";"327";"378";"285";"0.135";"16.2"
"2014-03-02";"18:01:08";"F";"1661";"330";"357";"403";"0.076";"12.9"
"2014-03-02";"18:01:18";"F";"1662";"323";"339";"558";"0.047";"11.0"
"2014-03-02";"18:01:28";"F";"1663";"304";"314";"908";"0.032";"12.2"
"2014-03-02";"18:01:39";"F";"1664";"294";"298";"1317";"0.013";"7.2"
"2014-03-02";"18:02:16";"FO";"1665";"599";"629";"0";"0.048";"0.0"
"2014-03-02";"18:02:26";"F";"1666";"366";"469";"84";"0.220";"7.8"
"2014-03-02";"18:02:37";"F";"1667";"384";"477";"125";"0.195";"10.2"
"2014-03-02";"18:02:46";"F";"1668";"366";"428";"191";"0.145";"11.6"
"2014-03-02";"18:02:57";"F";"1669";"358";"405";"285";"0.116";"13.9"
