"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-05";"11:17:17";"F";"32";"650";"658";"170";"13.0";"0.012";"0.9";"~169";"- 4.6";"0.016";"0.096";"0.084"
"2013-09-05";"11:17:27";"F";"33";"638";"641";"228";"13.0";"0.005";"0.5";"~167";"- 4.6";"0.006";"0.124";"0.112"
"2013-09-05";"11:17:37";"F";"34";"623";"622";"337";"13.0";"-";"-";"-";"- 4.6";"-";"-";"-"
"2013-09-05";"11:17:37";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:19:17";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:19:17";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:19:17";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:19:18";"FO";"35";"195";"634";"0";"13.0";"0.692";"0.0";"-";"- 5.3";"-";"-";"-"
"2013-09-05";"11:19:28";"F";"36";"498";"632";"19";"13.0";"0.212";"1.7";"~195";"- 5.3";"0.307";"0.005";"0.003"
"2013-09-05";"11:19:38";"F";"37";"572";"624";"38";"13.0";"0.083";"1.3";"~194";"- 5.3";"0.121";"0.021";"0.016"
"2013-09-05";"11:19:48";"F";"38";"586";"613";"58";"13.0";"0.044";"1.1";"~193";"- 5.3";"0.064";"0.043";"0.034"
"2013-09-05";"11:19:58";"F";"39";"588";"602";"86";"13.0";"0.023";"0.8";"~192";"- 5.3";"0.034";"0.066";"0.053"
"2013-09-05";"11:20:08";"F";"40";"584";"589";"117";"13.0";"0.008";"0.4";"~191";"- 5.3";"0.013";"0.093";"0.076"
"2013-09-05";"11:20:17";"F";"41";"573";"573";"170";"13.0";"0.000";"0.0";"~189";"- 5.3";"0.000";"0.125";"0.106"
"2013-09-05";"11:20:27";"F";"42";"556";"556";"228";"13.0";"0.000";"0.0";"~187";"- 5.3";"0.000";"0.159";"0.140"
"2013-09-05";"11:20:37";"F";"43";"535";"532";"337";"13.0";"-";"-";"-";"- 5.3";"-";"-";"-"
"2013-09-05";"11:20:37";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:21:23";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:21:23";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:21:23";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:21:24";"FO";"44";"195";"761";"0";"13.0";"0.744";"0.0";"-";"- 5.3";"-";"-";"-"
"2013-09-05";"11:21:34";"F";"45";"492";"767";"19";"13.0";"0.359";"2.9";"~195";"- 5.3";"0.481";"- 0.011";"- 0.008"
"2013-09-05";"11:21:44";"F";"46";"636";"756";"38";"13.0";"0.159";"2.5";"~195";"- 5.3";"0.214";"0.009";"0.007"
"2013-09-05";"11:21:53";"F";"47";"678";"740";"58";"13.0";"0.084";"2.0";"~194";"- 5.3";"0.114";"0.035";"0.028"
"2013-09-05";"11:22:03";"F";"48";"694";"726";"86";"13.0";"0.044";"1.6";"~193";"- 5.3";"0.060";"0.058";"0.048"
"2013-09-05";"11:22:13";"F";"49";"694";"709";"117";"13.0";"0.021";"1.0";"~191";"- 5.3";"0.029";"0.085";"0.073"
